"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACG CASE REPORTS JOURNAL","2326-3253","2326-3253","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Gastroenterology & Hepatology"
"ACM COMMUNICATIONS IN COMPUTER ALGEBRA","1932-2232","1932-2240","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Mathematics | Mathematics, Applied"
"ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO","0001-494X","2282-0035","UNIV STUDI MILANO","C/O RIVISTA ITALIANA PALEONTOLOGIA STRATIGRAFIA, VIA MANGIAGALLI, 34, MILANO, ITALY, 20133","Italian","Humanities, Multidisciplinary"
"ACM JOURNAL OF DATA AND INFORMATION QUALITY","1936-1955","1936-1955","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Computer Science | Computer Science, Information Systems"
"ACM TRANSACTIONS ON ACCESSIBLE COMPUTING","1936-7228","1936-7236","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Computer Science, Interdisciplinary Applications"
"ACM TRANSACTIONS ON COMPUTATION THEORY","1942-3454","1942-3462","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Computer Science, Theory & Methods | Computer Science"
"ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS","2378-962X","2378-9638","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Computer Science, Interdisciplinary Applications | Computer Science"
"ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION","2167-8375","2167-8383","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Computer Science, Interdisciplinary Applications | Computer Science"
"ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION","2573-9522","2573-9522","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Robotics | Engineering"
"ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS","2158-656X","2158-6578","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Computer Science | Computer Science, Information Systems"
"ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS","2376-3639","2376-3647","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Computer Science | Computer Science, Information Systems"
"ACM TRANSACTIONS ON PARALLEL COMPUTING","2329-4949","2329-4957","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Computer Science, Theory & Methods | Computer Science"
"ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS","2374-0353","2374-0361","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","","Remote Sensing | Engineering"
"ACOUSTICAL SCIENCE AND TECHNOLOGY","1346-3969","1347-5177","ACOUSTICAL SOC JAPAN","NAKAURA 5TH-BLDG. 2F, 2-18-20 SOTOKANDA, CHIYODA-KU, TOKYO, JAPAN, 101-0021","","Acoustics | Engineering"
"ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER","1828-454X","1828-454X","PAGEPRESS PUBL","MEDITGROUP, VIA G BELLI, 4, PAVIA, ITALY, 27100","English, Italian","Geosciences | Water Resources"
"A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL","1516-3210","1984-4182","EDITORA FORUM","AV AFONSO PENA 2770, 15-16 ANDAR, BAIRRO FUNCIONARIOS, BELO HORIZONTE, MINAS GERAIS, BRAZIL, 00000","","Social Sciences, General | Law"
"ACS APPLIED ELECTRONIC MATERIALS","2637-6113","2637-6113","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Engineering, Electrical & Electronic | Materials Science, Multidisciplinary"
"ACS APPLIED POLYMER MATERIALS","2637-6105","2637-6105","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Polymer Science"
"ACS CHEMICAL HEALTH & SAFETY","1871-5532","1878-0504","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Clinical Medicine | Public, Environmental & Occupational Health"
"ACS MATERIALS LETTERS","2639-4979","2639-4979","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science, Multidisciplinary"
"ACTA AGROBOTANICA","0065-0951","2300-357X","POLSKIE TOWARZYSTWO BOTANICZNE","AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478","English","Plant Sciences"
"ACTA ANAESTHESIOLOGICA BELGICA","0001-5164","","ACTA MEDICAL BELGICA","AVENUE CIRCULAIRE 138 A, BRUSSELS, BELGIUM, B-1180","","Clinical Medicine | Anesthesiology"
"ACTA ANGIOLOGICA","1234-950X","1644-3276","VIA MEDICA","UL SWIETOKRZYSKA 73, GDANSK, POLAND, 80-180","Polish","Clinical Medicine | Peripheral Vascular Disease"
"ACTA BALNEOLOGICA","2082-1867","2082-1867","WYDAWNICTWO ALUNA","UL Z M PRZESMYCKIEGO 29, KONSTANCIN-JEZIORNA, POLAND, 05510","","Clinical Medicine | Rehabilitation"
"ACTA BALTICO-SLAVICA","0065-1044","2392-2389","POLISH ACAD SCIENCES, INST SLAVIC STUDIES","BARTOSZEWICZA 1B-17, WARSAW, POLAND, 00-337","Belarusian, English, Lithuanian, Polish, Russian, Ukrainian","Humanities, Multidisciplinary"
"ACTA BIOCLINICA","2244-8136","2244-8136","UNIV LOS ANDES, VENEZUELA","SCH DENTISTRY, DENTAL RES CTR, BLDG DEPUTY RECTOR, MERIDA, VENEZUELA, 00000","","Dentistry, Oral Surgery & Medicine | Clinical Medicine"
"ACTA BRASILIENSIS","2526-432X","2526-4338","UNIV FEDERAL CAMPINA GRANDE","RUA APRIGIO VELOSO 882, BODO CONGO, CAMPINA GRANDE PB, BRAZIL, 58109 090","Portuguese","Agriculture, Multidisciplinary"
"ACTA CHEMICA IASI","2067-2438","2067-2446","DE GRUYTER POLAND SP Z O O","BOGUMILA ZUGA 32A STR, WARSAW, Poland, MAZOVIA, 01-811","English","Chemistry | Chemistry, Multidisciplinary"
"ACTA CHIMICA SLOVACA","1337-978X","1337-978X","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","","Chemistry | Chemistry, Multidisciplinary"
"ACTA COLOMBIANA DE PSICOLOGIA","0123-9155","1909-9711","UNIV CATOLICA COLOMBIA, FAC DISENO","CARRERA 13 NO 47-49, BOGOTA D C, COLOMBIA, 00000","English, Spanish","Social Sciences, General | Psychology, Clinical"
"ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS","2056-9890","2056-9890","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Chemistry | Crystallography"
"ACTA CYBERNETICA","0324-721X","0324-721X","UNIV SZEGED, FAC SCIENCE","C/O E SZABO, EXCHANGE LIBRARIAN, DUGONICS TER 13, PO BOX 393, SZEGED, HUNGARY, 6701","","Computer Science | Computer Science, Cybernetics"
"ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA","1318-4458","1581-2979","DERMATOVENEROLOGICAL SOC SLOVENIA","DERMATOLOSKA KLINIKA, ZALOSKA 2, LJUBLJANA, SLOVENIA, 1525","","Clinical Medicine | Dermatology"
"ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA","1406-2283","2228-4699","UNIV TARTU PRESS","1 W STRUVE ST, TARTU, ESTONIA, 50091","","Mathematics | Mathematics"
"ACTA FACULTATIS MEDICAE NAISSENSIS","0351-6083","2217-2521","UNIV NIS, FAC MEDICINE","BULEVAR DR ZORANA DINDICA 81, NIS, Serbia, NISAVA, 18000","English","Clinical Medicine | Medicine, General & Internal"
"ACTA FACULTATIS XYLOLOGIAE ZVOLEN","1336-3824","1336-3824","TECHNICKA UNIV ZVOLENE","UL T G MASARYKA 2117-24, ZVOLEN, SLOVAKIA, 96053","","Materials Science, Paper & Wood | Materials Science"
"ACTA GEOCHIMICA","2096-0956","2365-7499","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","","Geosciences | Geochemistry & Geophysics"
"ACTA GERMANICA-GERMAN STUDIES IN AFRICA","0065-1273","0065-1273","PETER LANG GMBH","EUROPAISCHER VERLAG WISSENSCH JUPITERSTRASSE 15, BERN 15, SWITZERLAND, CH-3000","","Language & Linguistics"
"ACTA GYMNICA","2336-4912","2336-4920","UNIV PALACKEHO & OLOMOUCI, FAK TELESNE KULTURY","TR MIRU 115, OLOMOUC, CZECH REPUBLIC, 77111","English","Clinical Medicine | Sport Sciences"
"ACTA KINESIOLOGICA","1840-2976","1840-3700","DRUSTVO PEDAGOGA TJELESNE & ZDRAVSTVENE KULTURE","TESKERA-PUT ZA CRVENI GRM BB, LJUBUSKI, BOSNIA & HERCEG, 88320","","Clinical Medicine | Sport Sciences"
"ACTA MATHEMATICA UNIVERSITATIS COMENIANAE","0231-6986","0862-9544","COMENIUS UNIV","SCH MEDICINE, SPITALSKA 24, BRATISLAVA I, SLOVAKIA, SK-813 72","","Mathematics | Mathematics"
"ACTA MATHEMATICA VIETNAMICA","0251-4184","2315-4144","SPRINGER SINGAPORE PTE LTD","#04-01 CENCON I, 1 TANNERY RD, SINGAPORE, SINGAPORE, 347719","","Mathematics | Mathematics"
"ACTA MECHANICA ET AUTOMATICA","1898-4088","2300-5319","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Engineering, Mechanical | Engineering"
"ACTA MEDICA INDONESIANA","0125-9326","2338-2732","UNIV INDONESIA, FAC MEDICINE","JALAN SALEMBA 6, JAKARTA PUSAT, INDONESIA, 10430","English","Clinical Medicine | Medicine, General & Internal"
"ACTA MEDICO-HISTORICA ADRIATICA","1334-4366","1334-6253","CROATIAN SCIENTIFIC SOC HISTORY HEALTH CULTURE","BRACE BRANCHETTA 20, RIJEKA, CROATIA, 51000","Croatian, English, German, Italian, Slovenian, Spanish","History & Philosophy Of Science | Clinical Medicine"
"ACTA METALLURGICA SLOVACA","1335-1532","1338-1156","SCICELL SRO","MOJZESOVO 18, MOJZESOVO, SLOVAKIA, 94104","English","Metallurgy & Metallurgical Engineering | Materials Science"
"ACTA MISSIOLOGICA","1337-7515","2453-7160","ST ELIZABETH UNIV HEALTH & SOCIAL WORK BRATISLAVA","BRATISLAVA-OLD TOWN, BRATISLAVA, SLOVAKIA, 00000","","Religion"
"ACTA NEOPHILOLOGICA","0567-784X","2350-417X","LJUBLJANA UNIV PRESS, FAC ARTS","DEPT ROMANCE LANGUAGES & LITERATURES,, ASKERCEVA 2, SLOVENIA, LJUBLJANA, SI-1000","English","Literature"
"ACTA NEUROPSYCHOLOGICA","1730-7503","2084-4298","MEDSPORTPRESS PUBLISHING HOUSE","UL MARYMONCKA 34 SKR 23, WARSAW, POLAND, 01813","","Psychology | Clinical Medicine"
"ACTA OPTICA SINICA","0253-2239","0253-2239","CHINESE LASER PRESS","PO BOX 800-211, SHANGHAI, PEOPLES R CHINA, 201800","","Optics"
"ACTA OTO-LARYNGOLOGICA CASE REPORTS","2377-2484","2377-2484","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Otorhinolaryngology"
"ACTA OTORRINOLARINGOLOGICA ESPANOLA","0001-6519","1988-3013","ELSEVIER ESPANA SLU","AV JOSEP TARRADELLAS, 20-30, 1ERA PLANTA, BARCELONA, SPAIN, CP-08029","","Otorhinolaryngology"
"ACTA PEDIATRICA DE MEXICO","0186-2391","2395-8235","INST NAC PEDIATRIA","AVE INSURGENTES SUR NO 3700-C, COL INSURGENTES CUICUILCO, MEXICO D F, MEXICO, 04530","Spanish","Clinical Medicine | Pediatrics"
"ACTA PHLEBOLOGICA","1593-232X","1827-1766","EDIZIONI MINERVA MEDICA","CORSO BRAMANTE 83-85 INT JOURNALS DEPT., TURIN, ITALY, 10126","","Clinical Medicine | Peripheral Vascular Disease"
"ACTA PHOTONICA SINICA","1004-4213","1004-4213","SCIENCE PRESS","300 WEST CHESNUT ST, EPHRATA, USA, PA, 17522","","Physics | Optics"
"ACTA POETICA","0185-3082","2448-735X","UNIV NAC AUTONOMA MEXICO, INST INVESTIGACIONES FILOLOGICAS","CIRCUITO MARIO CUEVA, ZONA CULTURAL, MEXICO CITY, MEXICO, DF 04510","Spanish","Literature | Literary Theory & Criticism"
"ACTA POLYTECHNICA","1210-2709","1805-2363","CZECH TECHNICAL UNIV PRAGUE","ZIKOVA 4, PRAGUE 6, CZECH REPUBLIC, 16636","English","Engineering, Multidisciplinary | Engineering"
"ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA","0001-6896","","FUNDACION ACTA","FONDO PARA LA SALUD MENTAL MALABIA 2274 13 A, BUENOS AIRES, ARGENTINA,","","Psychiatry/Psychology | Psychiatry"
"ACTA PSYCHOLOGICA SINICA","0439-755X","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","","Psychology, Multidisciplinary"
"ACTA RADIOLOGICA OPEN","2058-4601","2058-4601","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Radiology, Nuclear Medicine & Medical Imaging | Clinical Medicine"
"ACTA SCIENTIARUM-HEALTH SCIENCES","1679-9291","1807-8648","UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO","AV. COLOMBO, 5790, DIVISAO DE DIVULGACAO CIENTIFICA, MARINGA, BRAZIL, PR, 87020-900","English, Portuguese","Clinical Medicine | Public, Environmental & Occupational Health"
"ACTA SCIENTIARUM MATHEMATICARUM","0001-6969","0001-6969","UNIV SZEGED, BOLYAI INSTITUTE","ARADI VERTANUK TERE 1, SZEGED, HUNGARY, 6720","","Mathematics"
"ACTA SCIENTIARUM POLONORUM-FORMATIO CIRCUMIECTUS","1644-0765","1644-0765","WYDAWNICTWO UNIWERSYTETU ROLNICZEGO HUGONA KOLLATAJA KRAKOWIE","AL 29 LISTOPADA 46, KRAKOW, POLAND, 31425","English, Polish","Environmental Sciences | Agronomy"
"ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA","1644-0730","1898-9594","POZNAN UNIV LIFE SCIENCES","UL WITOSA 45, POZNAN, POLAND, 61-693","","Agricultural Sciences | Food Science & Technology"
"ACTAS DERMO-SIFILIOGRAFICAS","0001-7310","1578-2190","ELSEVIER ESPANA","CALLE DE ZURBANO, 76-4TH FLR LEFT, MADRID, SPAIN, 28010","","Clinical Medicine | Dermatology"
"ACTA SILVAE ET LIGNI","2335-3112","2335-3953","GOZDARSKI INST SLOVENIJE","VECNA POT 2, LJUBLJANA, SLOVENIA, 00000","English, French, German, Slovenian, Spanish","Plant & Animal Science | Forestry"
"ACTA STOMATOLOGICA CROATICA","0001-7019","1846-0410","UNIV ZAGREB, SCH DENTAL MEDICINE","GUNDULICEVA 5, ZAGREB, CROATIA, HR-10 000","Croatian, English","Dentistry, Oral Surgery & Medicine | Clinical Medicine"
"ACTA STRUCTILIA","1023-0564","2415-0487","UNIV FREE STATE, DEPT QUANTITY SURVEYING & CONSTRUCTION MANAGEMENT","PO BOX 339, BLOEMFONTEIN, SOUTH AFRICA, 9300","English","Management | Economics & Business"
"ACTA TECHNICA NAPOCENSIS SERIES-APPLIED MATHEMATICS MECHANICS AND ENGINEERING","1221-5872","1221-5872","TECHNICAL UNIV CLUJ-NAPOCA, FAC MACHINE BUILDING DEPT SYSTEMS ENG","B-DUL MUNCII NR 103105, RM C01, CLUJ-NAPOCA, ROMANIA, CP 400 641","","Mechanics | Engineering"
"ACTA TECHNOLOGICA AGRICULTURAE","1335-2555","1338-5267","SLOVAK UNIV AGRICULTURE NITRA","TR A HLINKU2, NITRA, SLOVAKIA, 94976","English","Agriculture, Multidisciplinary"
"ACTA TURISTICA","0353-4316","1848-6061","EKONOMSKI FAK SVEUCILISTA, KATEDRA TRGOVINU & TURIZAM","TRG J F KENNEDYJA 6, ZAGREB, CROATIA, 10000","","Social Sciences, General | Hospitality, Leisure, Sport & Tourism"
"ACTA UNIVERSITATIS SAPIENTIAE-FILM AND MEDIA STUDIES","2065-5924","2066-7779","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Film, Radio, Television"
"ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA","1844-6086","2066-7760","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Computer Science, Theory & Methods | Computer Science"
"ACTA UNIVERSITATIS SAPIENTIAE-MATHEMATICA","1844-6094","2066-7752","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Mathematics | Mathematics"
"ACTA VETERINARIA EURASIA","2618-639X","2619-905X","ISTANBUL UNIV-CERRAHAPASA","ISTANBUL UNIV-CERRAHAPASA, ISTANBUL, TURKEY, AVCILAR, 34320","English","Veterinary Sciences"
"ACTION LEARNING","1476-7333","1476-7341","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Education & Educational Research"
"ACTIVE AND PASSIVE ELECTRONIC COMPONENTS","0882-7516","1563-5031","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Engineering, Electrical & Electronic | Engineering"
"ACTIVITAS NERVOSA SUPERIOR REDIVIVA","1337-933X","1338-4015","SLOVAK ACAD SCIENCES, INST NORMAL & PATHOLOGICAL PHYSIOLOGY","SIENKIEWICZOVA 1, BRATISLAVA, SLOVAKIA, 81371","","Clinical Neurology | Clinical Medicine"
"ACTIVITAT PARLAMENTARIA","1577-7162","2339-5591","GENERALITAT CATALUNYA, DEPT GOVERNACIO & RELACIONS INST","CARRER TAPINERIA, 10, 3A PLANTA, BARCELONA, SPAIN, 08002","","Political Science | Social Sciences, General"
"ACTIVITES-REVUE ELECTRONIQUE","1765-2723","1765-2723","ASSOC RECHERCHE & PRATIQUE ACTIVITES","ASSOC RECHERCHE & PRATIQUE ACTIVITES, PARIS, FRANCE, 00000","English, French","Social Sciences, General | Ergonomics"
"ACTIVITIES ADAPTATION & AGING","0192-4788","1544-4368","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Gerontology"
"ACTUALIDAD CONTABLE FACES","1316-8533","1316-8533","UNIV ANDES, FAC CIENCIAS ECONOMICAS & SOCIALES","NUCLEO LIRIA, EDIF F, PISO 1, AV AMERICAS, MERIDA, VENEZUELA, 00000","Spanish","Economics & Business | Business, Finance"
"ACTUALIDADES EN PSICOLOGIA","0258-6444","2215-3535","UNIV COSTA RICA, INST INVESTIGACION PSICOLOGICAS","CALLE 1, SAN PEDRO, COSTA RICA, 00000","Spanish","Social Sciences, General | Psychology"
"ACTUALIDADES PEDAGOGICAS","0120-1700","2389-8755","UNIV LA SALLE","CRA 7 NRO 172 85, CUNDINAMARCA, BOGOTA, COLOMBIA, 00000","","Social Sciences, General | Education & Educational Research"
